Amber
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea
0      20      10      5      5      5     5      5      5      2     1      5
5      6  7    2  4    1  3   2  2   2  4  1  3   2  2   2  4   0  0  0  0   1  3
11     5  8    4  5    2  4   1  3   2  2  2  4   1  3   2  2   0  0  0  0   2  4
18     5  9    2  3    2  2   2  4   1  3  2  2   2  4   1  3   0  0  0  0   2  2
26     6  7    2  4    1  3   2  2   2  4  1  3   2  2   2  4   0  0  0  0   1  3
35     5  8    4  5    2  4   1  3   2  2  2  4   1  3   2  2   0  0  1  1   2  4
45     5  9    2  3    2  2   2  4   1  3  2  2   2  4   1  3   0  0  0  0   2  2
56     6  7    2  4    1  3   2  2   2  4  1  3   2  2   2  4   0  0  0  0   1  3
68     5  8    4  5    2  4   1  3   2  2  2  4   1  3   2  2   0  0  0  0   2  4
81     5  9    2  3    2  2   2  4   1  3  2  2   2  4   1  3   0  0  0  0   2  2
95     6  7    2  4    1  3   2  2   2  4  1  3   2  2   2  4   1  1  1  1   1  3
110    5  8    4  5    2  4   1  3   2  2  2  4   1  3   2  2   0  0  0  0   2  4
126    5  9    2  3    2  2   2  4   1  3  2  2   2  4   1  3   0  0  0  0   2  2
143    6  7    2  4    1  3   2  2   2  4  1  3   2  2   2  4   0  0  0  0   1  3
161    5  8    4  5    2  4   1  3   2  2  2  4   1  3   2  2   0  0  0  0   2  4
180    5  9    2  3    2  2   2  4   1  3  2  2   2  4   1  3   0  0  1  1   2  2
200    6  7    2  4    1  3   2  2   2  4  1  3   2  2   2  4   0  0  0  0   1  3
221    5  8    4  5    2  4   1  3   2  2  2  4   1  3   2  2   0  0  0  0   2  4
243    5  9    2  3    2  2   2  4   1  3  2  2   2  4   1  3   0  0  0  0   2  2
266    6  7    2  4    1  3   2  2   2  4  1  3   2  2   2  4   0  0  0  0   1  3
290    5  8    4  5    2  4   1  3   2  2  2  4   1  3   2  2   1  1  1  1   2  4
315    5  9    2  3    2  2   2  4   1  3  2  2   2  4   1  3   0  0  0  0   2  2
341    6  7    2  4    1  3   2  2   2  4  1  3   2  2   2  4   0  0  0  0   1  3
368    5  8    4  5    2  4   1  3   2  2  2  4   1  3   2  2   0  0  0  0   2  4
396    5  9    2  3    2  2   2  4   1  3  2  2   2  4   1  3   0  0  0  0   2  2
425    6  7    2  4    1  3   2  2   2  4  1  3   2  2   2  4   0  0  1  1   1  3
455    5  8    4  5    2  4   1  3   2  2  2  4   1  3   2  2   0  0  0  0   2  4
486    5  9    2  3    2  2   2  4   1  3  2  2   2  4   1  3   0  0  0  0   2  2
518    6  7    2  4    1  3   2  2   2  4  1  3   2  2   2  4   0  0  0  0   1  3
551    5  8    4  5    2  4   1  3   2  2  2  4   1  3   2  2   0  0  0  0   2  4
585    5  9    2  3    2  2   2  4   1  3  2  2   2  4   1  3   1  1  1  1   2  2
