Sara
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea
0      26      6       6      7      3     3      7      7      4     6      7
5      7  11   1  3    2  3   1  3   0  2  0  1   2  2   2  4   0  0  1  1   1  3
11     6  10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  1  1   2  4
18     8  10   2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  1  1   2  2
26     7  11   1  3    2  3   1  3   0  2  0  1   2  2   2  4   0  0  0  0   1  3
35     6  10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  1  1   2  4
45     8  10   2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  1  1   2  2
56     7  11   1  3    2  3   1  3   0  2  0  1   2  2   2  4   1  1  1  1   1  3
68     6  10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  0  0   2  4
81     8  10   2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  1  1   2  2
95     7  11   1  3    2  3   1  3   0  2  0  1   2  2   2  4   0  0  1  1   1  3
110    6  10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  1  1   2  4
126    8  10   2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  0  0   2  2
143    7  11   1  3    2  3   1  3   0  2  0  1   2  2   2  4   0  0  1  1   1  3
161    6  10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   1  1  1  1   2  4
180    8  10   2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  1  1   2  2
200    7  11   1  3    2  3   1  3   0  2  0  1   2  2   2  4   0  0  0  0   1  3
221    6  10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  1  1   2  4
243    8  10   2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  1  1   2  2
266    7  11   1  3    2  3   1  3   0  2  0  1   2  2   2  4   0  0  1  1   1  3
290    6  10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  0  0   2  4
315    8  10   2  3    1  2   2  2   0  1  1  2   2  4   1  3   1  1  1  1   2  2
341    7  11   1  3    2  3   1  3   0  2  0  1   2  2   2  4   0  0  1  1   1  3
368    6  10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  1  1   2  4
396    8  10   2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  0  0   2  2
425    7  11   1  3    2  3   1  3   0  2  0  1   2  2   2  4   0  0  1  1   1  3
455    6  10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  1  1   2  4
486    8  10   2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  1  1   2  2
518    7  11   1  3    2  3   1  3   0  2  0  1   2  2   2  4   1  1  0  0   1  3
551    6  10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  1  1   2  4
585    8  10   2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  1  1   2  2
