 21 
Two-Handed_Iron_Long 0 ATK+9 0 0 0 1 1 0 0
Two-Handed_Iron_Broa 0 ATK+10 0 0 0 1 2 0 0
Two-Handed_Steel_Lon 1 ATK+18 0 0 0 1 3 0 0
Two-Handed_Steel_Bro 1 ATK+20 0 0 0 1 4 0 0
Two-Handed_Obsidian_ 2 ATK+27 0 0 0 1 5 0 0
Two-Handed_Obsidian_ 2 ATK+30 0 0 0 1 6 0 0
Iron_Long_Sword 3 ATK+7 0 0 0 1 7 0 0
Iron_Broad_Sword 3 ATK+8 0 0 0 1 8 0 0
Steel_Long_Sword 4 ATK+14 0 0 0 1 9 0 0
Steel_Broad_Sword 4 ATK+16 0 0 0 1 10 0 0
Obsidian_Long_Sword 5 ATK+21 0 0 0 1 11 0 0
Obsidian_Broad_Sword 5 ATK+24 0 0 0 1 12 0 0
Iron_Armor 6 DEF+8 0 0 0 3 13 0 0
Iron_Platemail 6 DEF+10 0 0 0 3 14 0 0
Steel_Armor 7 DEF+16 0 0 0 3 15 0 0
Steel_Platemail 7 DEF+20 0 0 0 3 16 0 0
Obsidian_Armor 8 DEF+24 0 0 0 3 17 0 0
Obsidian_Platemail 8 DEF+30 0 0 0 3 18 0 0
Rise_+_Fall_T-Shirt 11 Cool_shirt!_-_DEF+3 0 0 0 3 19 0 0
Wizards'_Gear_(Femal 9 DEF+5_MAG+5_MGR+5 0 0 0 3 20 0 0
Ranier_Key 10 Key_to_Ranier_Imperial_Base 0 0 0 0 0 0 0
