Bollo
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea
0      10      6       6      7      3     3      7      7      4     6      7
10     5  5    1  3    2  3   1  3   0  2  0  1   2  2   2  4   0  0  1  1   1  3
20     5  5    1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  1  1   2  4
40     5  5    2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  1  1   2  2
60     5  5    1  3    2  3   1  3   0  2  0  1   2  2   2  4   0  0  0  0   1  3
100    5  5    1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  1  1   2  4
160    5  5    2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  1  1   2  2
220    10 10   1  3    2  3   1  3   0  2  0  1   2  2   2  4   1  1  1  1   1  3
300    10 10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  0  0   2  4
400    10 10   2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  1  1   2  2
500    10 10   1  3    2  3   1  3   0  2  0  1   2  2   2  4   0  0  1  1   1  3
600    10 10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  1  1   2  4
740    10 10   2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  0  0   2  2
900    10 10   1  3    2  3   1  3   0  2  0  1   2  2   2  4   0  0  1  1   1  3
1140   10 10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   1  1  1  1   2  4
1300   10 10   2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  1  1   2  2
1500   10 10   1  3    2  3   1  3   0  2  0  1   2  2   2  4   0  0  0  0   1  3
1790   10 10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  1  1   2  4
2000   10 10   2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  1  1   2  2
2500   10 10   1  3    2  3   1  3   0  2  0  1   2  2   2  4   0  0  1  1   1  3
3000   10 10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  0  0   2  4
3500   10 10   2  3    1  2   2  2   0  1  1  2   2  4   1  3   1  1  1  1   2  2
4000   10 10   1  3    2  3   1  3   0  2  0  1   2  2   2  4   0  0  1  1   1  3
4500   10 10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  1  1   2  4
5000   10 10   2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  0  0   2  2
6000   10 10   1  3    2  3   1  3   0  2  0  1   2  2   2  4   0  0  1  1   1  3
7000   10 10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  1  1   2  4
8000   10 10   2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  1  1   2  2
9000   10 10   1  3    2  3   1  3   0  2  0  1   2  2   2  4   1  1  0  0   1  3
10000  10 10   1  2    1  3   2  4   1  2  0  2   1  3   2  2   0  0  1  1   2  4
15000  20 20   2  3    1  2   2  2   0  1  1  2   2  4   1  3   0  0  1  1   2  2
50000  90 90   9  9    9  9   9  9   9  9  9  9   9  9   9  9   9  9  9  9   9  9
