Rikk
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea spell
0      26      10      5      5      5     5      5      5      4     1      5   1
5      7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 1  1 3  0
11     6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 1  1 2  0
18     8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 1  2 3  0
26     7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 1  1 3  0
35     6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 2  1 2  0
75     8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 2  2 3  0
156     7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 2  1 3  0
228     6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    1 1   0 1  1 2  0
381     8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   1 1  2 3  0
415     7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 2  1 3  0
550    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 2  1 2  0
696    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 2  2 3  0
733    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 1  1 3  0
871    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 1  1 2  0
920    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 2  2 3  0
1060    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 1  1 3  0
1201    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    1 1   2 4  1 2  0
1443    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   1 3  2 3  0
1586    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   1 1  1 3  0
2030    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 3  1 2  0
2315    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 1  2 3  0
2841    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 2  1 3  0
3168    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 1  1 2  0
3596    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 1  2 3  0
4125    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 1  1 3  0
6255    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    1 1   0 1  1 2  0
7386    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 1  2 3  0
8518    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 2  1 3  0
9651    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   1 1  1 2  0
10785    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 4  2 3  0
11920    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 2  1 3  0
12056    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 2  1 2  0
14193    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 2  2 3  0
16331    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 3  1 3  0
18470    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    1 1   2 3  1 2  0
20510    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   1 7  2 3  0
21651    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 1  1 3  0
24793    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 1  1 2  0
26936    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   1 1  2 3  0
30080    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 1  1 3  0
33025   6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 1  1 2  0
34071   8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 1  2 3  0
37018   7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 2  1 3  0
39066   6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    1 1   0 2  1 2  0
40215   8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 1  2 3  0
42465   7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 1  1 3  0
44616   6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 1  1 2  0
48068   8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 1  2 3  0
49121   7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   1 1  1 3  0
65475   6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 1  1 2  0
71475   8 12   2 5   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 5  3 5 0
81475   8 12   2 5   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 5  3 5 0
91475   8 12   2 5   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 5  3 5 0
101475   8 12   2 5   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 5  3 5 0
111475   8 12   2 5   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 5  3 5 0
121475   8 12   2 5   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 5  3 5 0
131475   8 12   2 5   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 5  3 5 0
146475   8 12   2 5   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 5  3 5 0
161475   8 12   2 5   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 5  3 5 0
176475   8 12   2 5   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 5  3 5 0
191475   8 12   2 5   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 5  3 5 0
211475   8 12   2 5   3 5    3 5    3 5   1 2    3 5    2 3    1 1   2 5  3 5 0
